herb,molecule,target
Abrus precatorius,4-Hydroxycinnamic acid,PTGER4
Abrus precatorius,4-Hydroxycinnamic acid,PTPN11
Abrus precatorius,4-Hydroxycinnamic acid,RARB
Abrus precatorius,4-Hydroxycinnamic acid,RBBP9
Abrus precatorius,4-Hydroxycinnamic acid,RHOA
Abrus precatorius,4-Hydroxycinnamic acid,Raji
Abrus precatorius,4-Hydroxycinnamic acid,STAT1
Abrus precatorius,4-Hydroxycinnamic acid,Solute carrier organic anion transporter family member 1B1
Abrus precatorius,4-Hydroxycinnamic acid,Solute carrier organic anion transporter family member 1B3
Abrus precatorius,4-Hydroxycinnamic acid,TLR9
Abrus precatorius,4-Hydroxycinnamic acid,TNFRSF1A
Abrus precatorius,4-Hydroxycinnamic acid,TRPM2
Abrus precatorius,4-Hydroxycinnamic acid,TTR
Abrus precatorius,4-Hydroxycinnamic acid,Tyrosinase
Abrus precatorius,4-Hydroxycinnamic acid,Xanthine dehydrogenase
Abrus precatorius,ABRUQUINONE-A,ACHE
Abrus precatorius,ABRUQUINONE-A,ADRA2C
Abrus precatorius,ABRUQUINONE-A,ALOX15B
Abrus precatorius,ABRUQUINONE-A,BRD4
Abrus precatorius,ABRUQUINONE-A,BRD9
Abrus precatorius,ABRUQUINONE-A,CA12
Abrus precatorius,ABRUQUINONE-A,CA2
Abrus precatorius,ABRUQUINONE-A,CA6
Abrus precatorius,ABRUQUINONE-A,CA7
Abrus precatorius,ABRUQUINONE-A,CDK2
Abrus precatorius,ABRUQUINONE-A,CDK4
Abrus precatorius,ABRUQUINONE-A,GSK3B
Abrus precatorius,ABRUQUINONE-A,ICAM1
Abrus precatorius,ABRUQUINONE-A,LRRK2
Abrus precatorius,ABRUQUINONE-A,ODC1
Abrus precatorius,ABRUQUINONE-A,PDGFRB
Abrus precatorius,ABRUQUINONE-A,SELE
Abrus precatorius,ABRUQUINONE-A,SYK
Abrus precatorius,ABRUQUINONE-A,VCAM1
Abrus precatorius,ABRUQUINONE-B,BRD4
Abrus precatorius,ABRUQUINONE-B,BRD9
Abrus precatorius,ABRUQUINONE-B,CHEK1
Abrus precatorius,ABRUQUINONE-B,EGFR
Abrus precatorius,ABRUQUINONE-B,HCRTR2
Abrus precatorius,ABRUQUINONE-B,ICAM1
Abrus precatorius,ABRUQUINONE-B,JAK3
Abrus precatorius,ABRUQUINONE-B,KDM5B
Abrus precatorius,ABRUQUINONE-B,LRRK2
Abrus precatorius,ABRUQUINONE-B,MMP13
Abrus precatorius,ABRUQUINONE-B,MMP2
Abrus precatorius,ABRUQUINONE-B,NTRK1
Abrus precatorius,ABRUQUINONE-B,ODC1
Abrus precatorius,ABRUQUINONE-B,PDE5A
Abrus precatorius,ABRUQUINONE-B,SELE
Abrus precatorius,ABRUQUINONE-B,SYK
Abrus precatorius,Abrectorin,ABCB1
Abrus precatorius,Abrectorin,ABCC1
Abrus precatorius,Abrectorin,ABCG2
Abrus precatorius,Abrectorin,ACHE
Abrus precatorius,Abrectorin,ADORA1
Abrus precatorius,Abrectorin,ADORA2A
Abrus precatorius,Abrectorin,AKR1B1
Abrus precatorius,Abrectorin,AKR1B10
Abrus precatorius,Abrectorin,ALOX12
Abrus precatorius,Abrectorin,ALOX15
Abrus precatorius,Abrectorin,ALOX5
Abrus precatorius,Abrectorin,AMY1A
Abrus precatorius,Abrectorin,ANTXR2
Abrus precatorius,Abrectorin,APP
Abrus precatorius,Abrectorin,AR
Abrus precatorius,Abrectorin,CA12
Abrus precatorius,Abrectorin,CA13
Abrus precatorius,Abrectorin,CA2
Abrus precatorius,Abrectorin,CA3
Abrus precatorius,Abrectorin,CA4
Abrus precatorius,Abrectorin,CA6
Abrus precatorius,Abrectorin,CA7
Abrus precatorius,Abrectorin,CA9
Abrus precatorius,Abrectorin,CALM1
Abrus precatorius,Abrectorin,CBR1
Abrus precatorius,Abrectorin,CBS
Abrus precatorius,Abrectorin,CELA1
Abrus precatorius,Abrectorin,CREB1
Abrus precatorius,Abrectorin,CXCL12
Abrus precatorius,Abrectorin,CYP19A1
Abrus precatorius,Abrectorin,CYP1A1
Abrus precatorius,Abrectorin,CYP1B1
Abrus precatorius,Abrectorin,DHCR7
Abrus precatorius,Abrectorin,ELAVL3
Abrus precatorius,Abrectorin,ERAP1
Abrus precatorius,Abrectorin,ERN1
Abrus precatorius,Abrectorin,ESR2
Abrus precatorius,Abrectorin,GLO1
Abrus precatorius,Abrectorin,GRK6
Abrus precatorius,Abrectorin,HL-60
Abrus precatorius,Abrectorin,IL2
Abrus precatorius,Abrectorin,IMPDH1
Abrus precatorius,Abrectorin,IMPDH2
Abrus precatorius,Abrectorin,K562
Abrus precatorius,Abrectorin,KCND3
Abrus precatorius,Abrectorin,KIT
Abrus precatorius,Abrectorin,MAOB
Abrus precatorius,Abrectorin,NFKB1
Abrus precatorius,Abrectorin,NOX4
Abrus precatorius,Abrectorin,NQO1
Abrus precatorius,Abrectorin,ODC1
Abrus precatorius,Abrectorin,OPRD1
Abrus precatorius,Abrectorin,PGF
Abrus precatorius,Abrectorin,PIM1
