herb,molecule,target
Abrus precatorius,Hypaphorine,CCKBR
Abrus precatorius,Hypaphorine,CDC42BPA
Abrus precatorius,Hypaphorine,CFTR
Abrus precatorius,Hypaphorine,CTSB
Abrus precatorius,Hypaphorine,CTSL
Abrus precatorius,Hypaphorine,DRD2
Abrus precatorius,Hypaphorine,DRD3
Abrus precatorius,Hypaphorine,DRD4
Abrus precatorius,Hypaphorine,DYRK3
Abrus precatorius,Hypaphorine,ECE1
Abrus precatorius,Hypaphorine,EDNRA
Abrus precatorius,Hypaphorine,EDNRB
Abrus precatorius,Hypaphorine,EPHA1
Abrus precatorius,Hypaphorine,EPHA3
Abrus precatorius,Hypaphorine,EPHA4
Abrus precatorius,Hypaphorine,EPHA5
Abrus precatorius,Hypaphorine,EPHA6
Abrus precatorius,Hypaphorine,EPHA7
Abrus precatorius,Hypaphorine,EPHA8
Abrus precatorius,Hypaphorine,EPHB1
Abrus precatorius,Hypaphorine,EPHB2
Abrus precatorius,Hypaphorine,EPHB3
Abrus precatorius,Hypaphorine,EPHB6
Abrus precatorius,Hypaphorine,ERAP1
Abrus precatorius,Hypaphorine,ERAP2
Abrus precatorius,Hypaphorine,FPR1
Abrus precatorius,Hypaphorine,FPR2
Abrus precatorius,Hypaphorine,GABRB1
Abrus precatorius,Hypaphorine,GABRB2
Abrus precatorius,Hypaphorine,GHSR
Abrus precatorius,Hypaphorine,GPR84
Abrus precatorius,Hypaphorine,GRPR
Abrus precatorius,Hypaphorine,HDAC1
Abrus precatorius,Hypaphorine,HDAC10
Abrus precatorius,Hypaphorine,HDAC11
Abrus precatorius,Hypaphorine,HDAC2
Abrus precatorius,Hypaphorine,HDAC3
Abrus precatorius,Hypaphorine,HDAC5
Abrus precatorius,Hypaphorine,HDAC6
Abrus precatorius,Hypaphorine,HDAC7
Abrus precatorius,Hypaphorine,HDAC8
Abrus precatorius,Hypaphorine,HDAC9
Abrus precatorius,Hypaphorine,HGFAC
Abrus precatorius,Hypaphorine,HPN
Abrus precatorius,Hypaphorine,HTR1A
Abrus precatorius,Hypaphorine,HTR1B
Abrus precatorius,Hypaphorine,HTR1D
Abrus precatorius,Hypaphorine,HTR1E
Abrus precatorius,Hypaphorine,HTR2A
Abrus precatorius,Hypaphorine,HTR2B
Abrus precatorius,Hypaphorine,HTR2C
Abrus precatorius,Hypaphorine,IDE
Abrus precatorius,Hypaphorine,IMPDH1
Abrus precatorius,Hypaphorine,IMPDH2
Abrus precatorius,Hypaphorine,KCNA5
Abrus precatorius,Hypaphorine,KISS1R
Abrus precatorius,Hypaphorine,LNPEP
Abrus precatorius,Hypaphorine,MAGI3
Abrus precatorius,Hypaphorine,MC1R
Abrus precatorius,Hypaphorine,MC3R
Abrus precatorius,Hypaphorine,MC4R
Abrus precatorius,Hypaphorine,MC5R
Abrus precatorius,Hypaphorine,MME
Abrus precatorius,Hypaphorine,MMP1
Abrus precatorius,Hypaphorine,MMP11
Abrus precatorius,Hypaphorine,MMP14
Abrus precatorius,Hypaphorine,MMP15
Abrus precatorius,Hypaphorine,MMP17
Abrus precatorius,Hypaphorine,MMP2
Abrus precatorius,Hypaphorine,MMP25
Abrus precatorius,Hypaphorine,MMP26
Abrus precatorius,Hypaphorine,MMP3
Abrus precatorius,Hypaphorine,MMP7
Abrus precatorius,Hypaphorine,MMP8
Abrus precatorius,Hypaphorine,MMP9
Abrus precatorius,Hypaphorine,MPO
Abrus precatorius,Hypaphorine,MTNR1A
Abrus precatorius,Hypaphorine,NCOR1
Abrus precatorius,Hypaphorine,NCOR2
Abrus precatorius,Hypaphorine,NMBR
Abrus precatorius,Hypaphorine,NR3C1
Abrus precatorius,Hypaphorine,NR3C2
Abrus precatorius,Hypaphorine,OPRD1
Abrus precatorius,Hypaphorine,OPRM1
Abrus precatorius,Hypaphorine,P4HB
Abrus precatorius,Hypaphorine,PPIB
Abrus precatorius,Hypaphorine,PRKAB2
Abrus precatorius,Hypaphorine,PRKCG
Abrus precatorius,Hypaphorine,PRKD2
Abrus precatorius,Hypaphorine,PRKG2
Abrus precatorius,Hypaphorine,PSMB8
Abrus precatorius,Hypaphorine,PSMB9
Abrus precatorius,Hypaphorine,RAD51
Abrus precatorius,Hypaphorine,RUVBL1
Abrus precatorius,Hypaphorine,SGK2
Abrus precatorius,Hypaphorine,SNCA
Abrus precatorius,Hypaphorine,SPR
Abrus precatorius,Hypaphorine,SSTR1
Abrus precatorius,Hypaphorine,SSTR2
Abrus precatorius,Hypaphorine,SSTR3
Abrus precatorius,Hypaphorine,SSTR4
Abrus precatorius,Hypaphorine,SSTR5
Abrus precatorius,Hypaphorine,ST14
Abrus precatorius,Hypaphorine,ST3GAL1
Abrus precatorius,Hypaphorine,STK3
Abrus precatorius,Hypaphorine,TACR1
Abrus precatorius,Hypaphorine,TACR2
Abrus precatorius,Hypaphorine,TAOK3
Abrus precatorius,Hypaphorine,TMPRSS6
Abrus precatorius,Hypaphorine,TYR
Abrus precatorius,L-Abrine,ACE
Abrus precatorius,L-Abrine,ACE2
Abrus precatorius,L-Abrine,ACHE
Abrus precatorius,L-Abrine,ADAM12
Abrus precatorius,L-Abrine,ADAM17
Abrus precatorius,L-Abrine,ADAM9
Abrus precatorius,L-Abrine,ADAMTS4
Abrus precatorius,L-Abrine,ADCY5
Abrus precatorius,L-Abrine,ADRB3
Abrus precatorius,L-Abrine,AHR
Abrus precatorius,L-Abrine,AKT1
Abrus precatorius,L-Abrine,AKT2
Abrus precatorius,L-Abrine,AKT3
Abrus precatorius,L-Abrine,ANPEP
Abrus precatorius,L-Abrine,BCHE
Abrus precatorius,L-Abrine,BMP1
Abrus precatorius,L-Abrine,BRS3
Abrus precatorius,L-Abrine,C3AR1
Abrus precatorius,L-Abrine,C5AR1
Abrus precatorius,L-Abrine,CAMK2D
Abrus precatorius,L-Abrine,CAMKK2
Abrus precatorius,L-Abrine,CAPN1
Abrus precatorius,L-Abrine,CAPN2
Abrus precatorius,L-Abrine,CAPNS1
Abrus precatorius,L-Abrine,CASP10
Abrus precatorius,L-Abrine,CASP4
Abrus precatorius,L-Abrine,CASP5
Abrus precatorius,L-Abrine,CASP9
Abrus precatorius,L-Abrine,CBX4
Abrus precatorius,L-Abrine,CBX7
Abrus precatorius,L-Abrine,CCKAR
Abrus precatorius,L-Abrine,CCKBR
Abrus precatorius,L-Abrine,CDC25B
Abrus precatorius,L-Abrine,CDC42BPA
Abrus precatorius,L-Abrine,CFTR
Abrus precatorius,L-Abrine,CPA1
Abrus precatorius,L-Abrine,CTBP2
Abrus precatorius,L-Abrine,CTSB
Abrus precatorius,L-Abrine,CTSL
Abrus precatorius,L-Abrine,DRD2
Abrus precatorius,L-Abrine,DRD3
Abrus precatorius,L-Abrine,DRD4
Abrus precatorius,L-Abrine,DYRK3
Abrus precatorius,L-Abrine,ECE1
Abrus precatorius,L-Abrine,EDNRA
Abrus precatorius,L-Abrine,EDNRB
Abrus precatorius,L-Abrine,EPHA1
Abrus precatorius,L-Abrine,EPHA3
Abrus precatorius,L-Abrine,EPHA4
Abrus precatorius,L-Abrine,EPHA5
Abrus precatorius,L-Abrine,EPHA6
Abrus precatorius,L-Abrine,EPHA7
Abrus precatorius,L-Abrine,EPHA8
Abrus precatorius,L-Abrine,EPHB1
Abrus precatorius,L-Abrine,EPHB2
Abrus precatorius,L-Abrine,EPHB3
Abrus precatorius,L-Abrine,EPHB6
Abrus precatorius,L-Abrine,ERAP1
Abrus precatorius,L-Abrine,ERAP2
Abrus precatorius,L-Abrine,FOLH1
Abrus precatorius,L-Abrine,FPR1
Abrus precatorius,L-Abrine,FPR2
Abrus precatorius,L-Abrine,GABRA1
Abrus precatorius,L-Abrine,GABRB1
Abrus precatorius,L-Abrine,GABRB2
Abrus precatorius,L-Abrine,GABRG2
Abrus precatorius,L-Abrine,GHSR
Abrus precatorius,L-Abrine,GPR84
Abrus precatorius,L-Abrine,GRPR
Abrus precatorius,L-Abrine,GSK3A
Abrus precatorius,L-Abrine,GSK3B
Abrus precatorius,L-Abrine,HDAC1
Abrus precatorius,L-Abrine,HDAC10
Abrus precatorius,L-Abrine,HDAC11
Abrus precatorius,L-Abrine,HDAC2
Abrus precatorius,L-Abrine,HDAC3
Abrus precatorius,L-Abrine,HDAC5
Abrus precatorius,L-Abrine,HDAC6
Abrus precatorius,L-Abrine,HDAC7
Abrus precatorius,L-Abrine,HDAC8
Abrus precatorius,L-Abrine,HDAC9
Abrus precatorius,L-Abrine,HGFAC
Abrus precatorius,L-Abrine,HLA-A
Abrus precatorius,L-Abrine,HPN
Abrus precatorius,L-Abrine,HTR1A
Abrus precatorius,L-Abrine,HTR1B
Abrus precatorius,L-Abrine,HTR1D
Abrus precatorius,L-Abrine,HTR1E
Abrus precatorius,L-Abrine,HTR2A
Abrus precatorius,L-Abrine,HTR2B
Abrus precatorius,L-Abrine,HTR2C
Abrus precatorius,L-Abrine,HTR4
Abrus precatorius,L-Abrine,IDE
Abrus precatorius,L-Abrine,IDO1
Abrus precatorius,L-Abrine,IMPDH1
Abrus precatorius,L-Abrine,IMPDH2
Abrus precatorius,L-Abrine,JUN
Abrus precatorius,L-Abrine,KCNA5
Abrus precatorius,L-Abrine,KISS1R
Abrus precatorius,L-Abrine,LAP3
Abrus precatorius,L-Abrine,LNPEP
Abrus precatorius,L-Abrine,LTA4H
Abrus precatorius,L-Abrine,MAGI3
Abrus precatorius,L-Abrine,MAPK8
Abrus precatorius,L-Abrine,MAPK9
Abrus precatorius,L-Abrine,MC1R
Abrus precatorius,L-Abrine,MC3R
Abrus precatorius,L-Abrine,MC4R
Abrus precatorius,L-Abrine,MC5R
Abrus precatorius,L-Abrine,MDM4
Abrus precatorius,L-Abrine,MME
Abrus precatorius,L-Abrine,MMP1
Abrus precatorius,L-Abrine,MMP11
Abrus precatorius,L-Abrine,MMP14
Abrus precatorius,L-Abrine,MMP15
Abrus precatorius,L-Abrine,MMP17
Abrus precatorius,L-Abrine,MMP2
Abrus precatorius,L-Abrine,MMP25
Abrus precatorius,L-Abrine,MMP26
Abrus precatorius,L-Abrine,MMP3
Abrus precatorius,L-Abrine,MMP7
Abrus precatorius,L-Abrine,MMP8
Abrus precatorius,L-Abrine,MMP9
Abrus precatorius,L-Abrine,MPO
Abrus precatorius,L-Abrine,MTNR1A
Abrus precatorius,L-Abrine,MTNR1B
Abrus precatorius,L-Abrine,NAALAD2
Abrus precatorius,L-Abrine,NCOR1
Abrus precatorius,L-Abrine,NCOR2
Abrus precatorius,L-Abrine,NMBR
Abrus precatorius,L-Abrine,NMUR1
Abrus precatorius,L-Abrine,NPEPPS
Abrus precatorius,L-Abrine,NR3C1
Abrus precatorius,L-Abrine,NR3C2
Abrus precatorius,L-Abrine,NTSR1
Abrus precatorius,L-Abrine,OPRD1
Abrus precatorius,L-Abrine,OPRM1
Abrus precatorius,L-Abrine,P4HB
Abrus precatorius,L-Abrine,PIN1
Abrus precatorius,L-Abrine,PPARA
Abrus precatorius,L-Abrine,PPARG
Abrus precatorius,L-Abrine,PPIB
Abrus precatorius,L-Abrine,PRKAA1
Abrus precatorius,L-Abrine,PRKAB2
Abrus precatorius,L-Abrine,PRKCG
Abrus precatorius,L-Abrine,PRKD2
Abrus precatorius,L-Abrine,PRKG2
Abrus precatorius,L-Abrine,PRKX
Abrus precatorius,L-Abrine,PSMB5
Abrus precatorius,L-Abrine,PSMB8
Abrus precatorius,L-Abrine,PSMB9
Abrus precatorius,L-Abrine,PTPN1
Abrus precatorius,L-Abrine,PTPN2
Abrus precatorius,L-Abrine,RAD51
Abrus precatorius,L-Abrine,REN
Abrus precatorius,L-Abrine,RPS6KA3
Abrus precatorius,L-Abrine,RUVBL1
Abrus precatorius,L-Abrine,SGK2
Abrus precatorius,L-Abrine,SLC16A10 protein
Abrus precatorius,L-Abrine,SLC18A2
Abrus precatorius,L-Abrine,SLC7A5
Abrus precatorius,L-Abrine,SNCA
Abrus precatorius,L-Abrine,SPR
Abrus precatorius,L-Abrine,SSTR1
Abrus precatorius,L-Abrine,SSTR2
Abrus precatorius,L-Abrine,SSTR3
Abrus precatorius,L-Abrine,SSTR4
Abrus precatorius,L-Abrine,SSTR5
Abrus precatorius,L-Abrine,ST14
Abrus precatorius,L-Abrine,ST3GAL1
Abrus precatorius,L-Abrine,STK3
Abrus precatorius,L-Abrine,Solute carrier organic anion transporter family member 1B1
Abrus precatorius,L-Abrine,Solute carrier organic anion transporter family member 1B3
Abrus precatorius,L-Abrine,TACR1
Abrus precatorius,L-Abrine,TACR2
Abrus precatorius,L-Abrine,TAOK3
Abrus precatorius,L-Abrine,TMPRSS6
Abrus precatorius,L-Abrine,TYR
Abrus precatorius,TYROSINE,ACE
Abrus precatorius,TYROSINE,ACE2
Abrus precatorius,TYROSINE,AKR1B1
Abrus precatorius,TYROSINE,AKR1B10
Abrus precatorius,TYROSINE,AKT1S1
Abrus precatorius,TYROSINE,AKT3
Abrus precatorius,TYROSINE,ANPEP
Abrus precatorius,TYROSINE,ARG1
Abrus precatorius,TYROSINE,ARG2
Abrus precatorius,TYROSINE,BHMT
Abrus precatorius,TYROSINE,Bloom syndrome protein
Abrus precatorius,TYROSINE,C3AR1
Abrus precatorius,TYROSINE,CA14
Abrus precatorius,TYROSINE,CA2
Abrus precatorius,TYROSINE,CA3
Abrus precatorius,TYROSINE,CA5A
Abrus precatorius,TYROSINE,CA5B
Abrus precatorius,TYROSINE,CA6
Abrus precatorius,TYROSINE,CA7
Abrus precatorius,TYROSINE,CACNA2D1
Abrus precatorius,TYROSINE,CAPN1
Abrus precatorius,TYROSINE,CAPN2
Abrus precatorius,TYROSINE,CASP1
Abrus precatorius,TYROSINE,CASR
Abrus precatorius,TYROSINE,CBX7
Abrus precatorius,TYROSINE,CHRND
Abrus precatorius,TYROSINE,CPA1
Abrus precatorius,TYROSINE,CPA3
Abrus precatorius,TYROSINE,CPB1
Abrus precatorius,TYROSINE,CSK
Abrus precatorius,TYROSINE,CTBP2
Abrus precatorius,TYROSINE,CTRB1
Abrus precatorius,TYROSINE,CTSH
Abrus precatorius,TYROSINE,CXCL8
Abrus precatorius,TYROSINE,Carbonic anhydrase I
Abrus precatorius,TYROSINE,Carbonic anhydrase II
Abrus precatorius,TYROSINE,Carbonic anhydrase IV
Abrus precatorius,TYROSINE,Carbonic anhydrase VA
Abrus precatorius,TYROSINE,Carbonic anhydrase VB
Abrus precatorius,TYROSINE,Carbonic anhydrase VI
Abrus precatorius,TYROSINE,Carbonic anhydrase VII
Abrus precatorius,TYROSINE,Carbonic anhydrase XII
Abrus precatorius,TYROSINE,Carbonic anhydrase XIV
Abrus precatorius,TYROSINE,Cholesterol 24-hydroxylase
Abrus precatorius,TYROSINE,DNPEP
Abrus precatorius,TYROSINE,DPP4
Abrus precatorius,TYROSINE,DPP7
Abrus precatorius,TYROSINE,DPP8
Abrus precatorius,TYROSINE,DPP9
Abrus precatorius,TYROSINE,EGFR
Abrus precatorius,TYROSINE,ENPEP
Abrus precatorius,TYROSINE,ERAP1
Abrus precatorius,TYROSINE,ERAP2
Abrus precatorius,TYROSINE,ESR1
Abrus precatorius,TYROSINE,ESR2
Abrus precatorius,TYROSINE,ESRRB
Abrus precatorius,TYROSINE,FAP
Abrus precatorius,TYROSINE,FOLH1
Abrus precatorius,TYROSINE,FYN
Abrus precatorius,TYROSINE,GCLC
Abrus precatorius,TYROSINE,GFPT1
Abrus precatorius,TYROSINE,GNPAT
Abrus precatorius,TYROSINE,GPR142
Abrus precatorius,TYROSINE,GRIA1
Abrus precatorius,TYROSINE,GRIA2
Abrus precatorius,TYROSINE,GRIA3
Abrus precatorius,TYROSINE,GRIA4
Abrus precatorius,TYROSINE,GRIK1
Abrus precatorius,TYROSINE,GRIK2
Abrus precatorius,TYROSINE,GRIK3
Abrus precatorius,TYROSINE,GRIK5
Abrus precatorius,TYROSINE,GRM4
Abrus precatorius,TYROSINE,GRM6
Abrus precatorius,TYROSINE,GRM8
Abrus precatorius,TYROSINE,GSTM1
Abrus precatorius,TYROSINE,HLA-A
Abrus precatorius,TYROSINE,HMGCR
Abrus precatorius,TYROSINE,IL1B
Abrus precatorius,TYROSINE,KDM4E
Abrus precatorius,TYROSINE,KIF11
Abrus precatorius,TYROSINE,KLK1
Abrus precatorius,TYROSINE,KMO
Abrus precatorius,TYROSINE,KYNU
Abrus precatorius,TYROSINE,L-type amino acid transporter 1
Abrus precatorius,TYROSINE,LAP3
Abrus precatorius,TYROSINE,LCK
Abrus precatorius,TYROSINE,LNPEP
Abrus precatorius,TYROSINE,LTA4H
Abrus precatorius,TYROSINE,LY96
Abrus precatorius,TYROSINE,MB
Abrus precatorius,TYROSINE,MDM4
Abrus precatorius,TYROSINE,MIF
Abrus precatorius,TYROSINE,MME
Abrus precatorius,TYROSINE,MMEL1
Abrus precatorius,TYROSINE,NAALAD2
Abrus precatorius,TYROSINE,NOS1
Abrus precatorius,TYROSINE,NOS2
Abrus precatorius,TYROSINE,NOS3
Abrus precatorius,TYROSINE,NPEPPS
Abrus precatorius,TYROSINE,NPPA
Abrus precatorius,TYROSINE,NPY4R
Abrus precatorius,TYROSINE,OPRD1
Abrus precatorius,TYROSINE,OPRK1
Abrus precatorius,TYROSINE,OPRM1
Abrus precatorius,TYROSINE,PAM
Abrus precatorius,TYROSINE,PARP10
Abrus precatorius,TYROSINE,PCNA
Abrus precatorius,TYROSINE,PPARA
Abrus precatorius,TYROSINE,PPARG
Abrus precatorius,TYROSINE,PRKCH
Abrus precatorius,TYROSINE,PSMA1
Abrus precatorius,TYROSINE,PSMA2
Abrus precatorius,TYROSINE,PSMA3
Abrus precatorius,TYROSINE,PSMA4
Abrus precatorius,TYROSINE,PSMA5
Abrus precatorius,TYROSINE,PSMA6
Abrus precatorius,TYROSINE,PSMA7
Abrus precatorius,TYROSINE,PSMA8
Abrus precatorius,TYROSINE,PSMB1
Abrus precatorius,TYROSINE,PSMB10
Abrus precatorius,TYROSINE,PSMB11
Abrus precatorius,TYROSINE,PSMB2
Abrus precatorius,TYROSINE,PSMB3
Abrus precatorius,TYROSINE,PSMB4
Abrus precatorius,TYROSINE,PSMB6
Abrus precatorius,TYROSINE,PSMB7
Abrus precatorius,TYROSINE,PSMB9
Abrus precatorius,TYROSINE,PTPRA
Abrus precatorius,TYROSINE,RNPEP
Abrus precatorius,TYROSINE,SCNN1A
Abrus precatorius,TYROSINE,SLC15A1
Abrus precatorius,TYROSINE,SLC16A10 protein
Abrus precatorius,TYROSINE,SLC1A1
Abrus precatorius,TYROSINE,SLC1A2
Abrus precatorius,TYROSINE,SLC1A3
Abrus precatorius,TYROSINE,SLC22A6
Abrus precatorius,TYROSINE,SLC7A11
Abrus precatorius,TYROSINE,SLC7A5
Abrus precatorius,TYROSINE,SLCO4C1
Abrus precatorius,TYROSINE,Solute carrier organic anion transporter family member 1B1
Abrus precatorius,TYROSINE,Solute carrier organic anion transporter family member 1B3
Abrus precatorius,TYROSINE,TH
Abrus precatorius,TYROSINE,THRA
Abrus precatorius,TYROSINE,THRB
Abrus precatorius,TYROSINE,TMPRSS6
Abrus precatorius,TYROSINE,TPH1
Abrus precatorius,TYROSINE,TPH2
Abrus precatorius,TYROSINE,TYR
Abrus precatorius,TYROSINE,USP4
Abrus precatorius,TYROSINE,USP5
Abrus precatorius,TYROSINE,XIAP
Abrus precatorius,TYROSINE,YARS1
