"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Environmental Information Processing","Signal transduction","hsa04010","MAPK signaling pathway","24/346","300/9522",0.08,2.20161849710983,4.10645722140064,0.000235375926041183,0.000977970396931675,0.00046063190863508,"2353/3303/3725/4137/4790/7132/5159/1956/4914/3815/5228/7422/207/208/10000/994/5599/5601/5582/6197/6788/51347/781/3553",24
"Organismal Systems","Endocrine system","hsa04923","Regulation of lipolysis in adipocytes","9/346","59/9522",0.152542372881356,4.19800137160772,4.78456942855457,0.000250894874342069,0.00102797205459598,0.000484183090835571,"5733/134/111/155/207/208/10000/5593/4878",9
"Human Diseases","Cancer: specific types","hsa05210","Colorectal cancer","11/346","87/9522",0.126436781609195,3.479569463823,4.51146490089017,0.000293407780153475,0.00118568897459281,0.000558469026391617,"2353/3725/387/2932/1956/207/208/10000/842/5599/5601",11
"Organismal Systems","Development and regeneration","hsa04360","Axon guidance","17/346","184/9522",0.0923913043478261,2.54263005780347,4.10295161496528,0.00037502996512437,0.0014950518879958,0.000704181442338789,"6387/5781/387/2932/817/2041/2042/2043/2044/285220/2045/2046/2047/2048/2049/2051/2534",17
"Organismal Systems","Aging","hsa04211","Longevity regulating pathway","11/346","90/9522",0.122222222222222,3.3635838150289,4.37464680907478,0.000395581243842171,0.00153547982807159,0.000723223326692058,"4790/1385/111/207/208/10000/10645/5468/5562/5565/84335",11
"Human Diseases","Cancer: overview","hsa05235","PD-L1 expression and PD-1 checkpoint pathway in cancer","11/346","90/9522",0.122222222222222,3.3635838150289,4.37464680907478,0.000395581243842171,0.00153547982807159,0.000723223326692058,"2353/3725/4790/5781/6772/54106/1956/207/208/10000/3932",11
"Human Diseases","Substance dependence","hsa05032","Morphine addiction","11/346","91/9522",0.120879120879121,3.32662135552309,4.33032171991929,0.00043566026963082,0.0016690880459882,0.000786153870010502,"2782/54331/134/2870/111/2554/2560/2561/2566/4988/5582",11
"Organismal Systems","Digestive system","hsa04972","Pancreatic secretion","12/346","106/9522",0.113207547169811,3.11549787326862,4.25289764194151,0.000445750975550906,0.00167424562181405,0.000788583129632309,"1361/760/387/276/111/886/1080/1357/5582/1359/1360/1504",12
"Human Diseases","Neurodegenerative disease","hsa05014","Amyotrophic lateral sclerosis","27/346","371/9522",0.0727762803234501,2.00282006138697,3.82585336014583,0.000448357302112915,0.00167424562181405,0.000788583129632309,"7132/2081/10280/81027/842/10013/5693/834/2890/2891/4842/4843/5682/5683/5684/5685/5686/5687/5688/143471/5689/5690/5691/5692/5694/5695/6506",27
"Human Diseases","Infectious disease: viral","hsa05169","Epstein-Barr virus infection","18/346","205/9522",0.0878048780487805,2.41641054560835,3.98089445983856,0.000472633977531116,0.00174283779214599,0.000820890592554044,"3065/3066/3725/4790/6772/1017/1019/3383/6850/3718/207/208/10000/842/3105/5599/5601/9612",18
"Organismal Systems","Endocrine system","hsa04921","Oxytocin signaling pathway","15/346","155/9522",0.0967741935483871,2.66324818198769,4.05392095054155,0.000503692803437586,0.00183443675326035,0.000864034438645372,"7226/2353/3725/387/1956/801/111/817/10645/5562/5565/5582/781/4846/4878",15
"Environmental Information Processing","Signal transduction","hsa04371","Apelin signaling pathway","14/346","140/9522",0.1,2.75202312138728,4.05516720782888,0.000553669723269713,0.00199186058981177,0.000938182329545599,"2782/54331/9759/10014/801/111/207/208/10000/5562/5565/4842/4843/4846",14
"Human Diseases","Cancer: specific types","hsa05219","Bladder cancer","7/346","41/9522",0.170731707317073,4.69857606090512,4.60841985372824,0.000608966078814386,0.00216439750903908,0.00101944860372224,"4312/4313/4318/1019/1956/7422/3576",7
"Environmental Information Processing","Signal transduction","hsa04066","HIF-1 signaling pathway","12/346","110/9522",0.109090909090909,3.0022070415134,4.10125711908592,0.00062564466698182,0.00219720448523377,0.00103490095290226,"2033/4790/1956/7422/207/208/10000/817/5582/4843/4846/4878",12
