"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Environmental Information Processing","Signaling molecules and interaction","hsa04080","Neuroactive ligand-receptor interaction","71/346","370/9522",0.191891891891892,5.28090923293235,16.3091567014529,9.9024810327321e-33,2.92123190465597e-30,1.37592368033751e-30,"9170/5732/5733/5734/152/3062/134/135/4985/155/680/719/728/886/887/1813/1814/1815/1909/1910/2357/2358/2554/2560/2561/2566/2693/2925/3350/3351/3352/3354/3356/3357/3358/3360/84634/4157/4159/4160/4161/4543/4544/4829/10316/2908/4923/4988/6751/6752/6753/6754/6755/6869/6865/1144/2890/2891/2892/2893/2897/2898/2899/2901/2914/2916/2918/5540/4986/7067/7068",71
"Environmental Information Processing","Signaling molecules and interaction","hsa04082","Neuroactive ligand signaling","45/346","199/9522",0.226130653266332,6.22316786243355,14.4589018303211,7.3114387200482e-24,1.07843721120711e-21,5.07952584761243e-22,"43/2782/54331/152/134/135/4985/111/1813/1814/1815/2554/2560/2561/2566/3350/3351/3352/3354/3356/3357/3358/3360/4159/4160/4988/5582/6571/6869/6865/2890/2891/2892/2893/2897/2898/2899/2901/2914/2916/2918/4986/6505/6506/6507",45
"Genetic Information Processing","Folding, sorting and degradation","hsa03050","Proteasome","19/346","46/9522",0.41304347826087,11.3670520231214,13.6859294600273,4.61901628283962e-16,4.54203267812563e-14,2.13933385731519e-14,"5693/5696/5698/5682/5683/5684/5685/5686/5687/5688/143471/5689/5699/122706/5690/5691/5692/5694/5695",19
"Environmental Information Processing","Signal transduction","hsa04024","cAMP signaling pathway","37/346","226/9522",0.163716814159292,4.50552457926237,10.3564713509819,6.90504012720763e-15,5.09246709381562e-13,2.39859288629318e-13,"2033/2353/338442/3725/4790/5732/5733/387/134/135/801/1385/111/207/208/10000/817/1080/1813/1909/2693/3350/3351/3352/3354/3360/5599/5601/5465/6751/6752/6755/2890/2891/2892/2893/4878",37
"Metabolism","Energy metabolism","hsa00910","Nitrogen metabolism","12/346","17/9522",0.705882352941177,19.4260455627338,14.764990447981,2.30893708933799e-14,1.36227288270942e-12,6.41641464826558e-13,"759/771/377677/23632/760/761/762/763/11238/765/766/768",12
"Organismal Systems","Nervous system","hsa04728","Dopaminergic synapse","26/346","133/9522",0.195488721804511,5.37989482376461,9.8771684890676,1.2777800607499e-12,6.28241863202034e-11,2.95906961436819e-11,"2353/2782/54331/4128/4129/2932/801/1385/111/207/208/10000/817/1813/1814/1815/2931/5599/5601/5582/6571/2890/2891/2892/2893/7054",26
"Organismal Systems","Nervous system","hsa04726","Serotonergic synapse","24/346","115/9522",0.208695652173913,5.74335260115607,9.9371395137151,2.18107922708388e-12,9.19169102842493e-11,4.32936027030184e-11,"240/351/2782/54331/4128/4129/247/239/246/111/2560/2561/3350/3351/3352/3354/3356/3357/3358/3360/5582/6571/7166/121278",24
"Human Diseases","Neurodegenerative disease","hsa05017","Spinocerebellar ataxia","26/346","144/9522",0.180555555555556,4.96893063583815,9.31863433512951,8.66824520510142e-12,3.19641541938115e-10,1.50553732509656e-10,"2081/3752/207/208/10000/5599/5601/5582/5693/2890/2891/2892/5682/5683/5684/5685/5686/5687/5688/143471/5689/5690/5691/5692/5694/5695",26
"Environmental Information Processing","Signaling molecules and interaction","hsa04081","Hormone signaling","32/346","219/9522",0.146118721461187,4.02122099928735,8.78305639084985,1.2178307173444e-11,3.99177846240663e-10,1.8801597039703e-10,"2099/2100/2782/54331/387/152/3062/4985/111/155/886/887/1813/1814/1815/2693/4157/4159/4160/4161/4988/5593/6751/6752/6753/6754/6755/4842/4878/4986/7067/7068",32
"Human Diseases","Cardiovascular disease","hsa05417","Lipid and atherosclerosis","31/346","216/9522",0.143518518518519,3.94966281310212,8.51471966499559,4.16313097981282e-11,1.22812363904478e-09,5.78456094037149e-10,"2353/3303/3329/3725/4312/4318/4780/4790/387/7132/2932/3383/6401/7412/801/1543/2081/207/208/10000/817/842/5599/5601/4314/5468/834/3576/3553/23643/4846",31
"Human Diseases","Cardiovascular disease","hsa05418","Fluid shear stress and atherosclerosis","24/346","142/9522",0.169014084507042,4.65130668403484,8.51223676136837,2.36533052093261e-10,5.94978392775802e-09,2.80239599808763e-09,"2353/3725/4313/4318/4780/4790/387/7132/3383/6401/7412/801/1728/7422/207/208/10000/1514/5599/5601/5562/2944/3553/4846",24
"Human Diseases","Substance dependence","hsa05031","Amphetamine addiction","17/346","69/9522",0.246376811594203,6.78034682080925,9.35720712457409,2.4202510892575e-10,5.94978392775802e-09,2.80239599808763e-09,"2353/3065/3066/3725/4128/4129/801/1385/111/817/5582/6571/2890/2891/2892/2893/7054",17
"Human Diseases","Endocrine and metabolic disease","hsa04933","AGE-RAGE signaling pathway in diabetic complications","20/346","101/9522",0.198019801980198,5.44955073542036,8.72933132560153,4.24719496125101e-10,9.63786548899268e-09,4.5395120233614e-09,"2152/3725/4313/4790/6772/1019/3383/6401/7412/50507/5292/7422/207/208/10000/5599/5601/3576/3553/4846",20
"Human Diseases","Neurodegenerative disease","hsa05012","Parkinson disease","33/346","271/9522",0.121771217712177,3.35117206663396,7.62478053589211,8.07245330136196e-10,1.70098123135841e-08,8.01175816375774e-09,"4128/4129/4137/4780/120892/135/801/2081/81027/111/817/842/1813/5599/5601/5693/6571/6622/5682/5683/5684/5685/5686/5687/5688/143471/5689/5690/5691/5692/5694/5695/7054",33
"Organismal Systems","Endocrine system","hsa04926","Relaxin signaling pathway","22/346","130/9522",0.169230769230769,4.65726989773233,8.1527152717868,1.3235492133228e-09,2.60298011953484e-08,1.22602453444638e-08,"2353/2782/54331/3725/4312/4313/4318/4790/1956/4322/1385/7422/111/207/208/10000/1910/5599/5601/4842/4843/4846",22
"Human Diseases","Neurodegenerative disease","hsa05010","Alzheimer disease","40/346","391/9522",0.10230179028133,2.81536892213533,7.11781560924456,2.30797164452725e-09,4.25532271959712e-08,2.00429116498419e-08,"351/23621/4137/4790/7132/2932/801/2081/50507/81027/6868/207/208/10000/823/824/842/3416/5599/5601/4311/5693/6622/3553/4842/4843/5682/5683/5684/5685/5686/5687/5688/143471/5689/5690/5691/5692/5694/5695",40
"Environmental Information Processing","Signal transduction","hsa04668","TNF signaling pathway","20/346","119/9522",0.168067226890756,4.62524894350804,7.72735255050695,8.57501880462112e-09,1.4880179690372e-07,7.00868410037145e-08,"2353/3725/4318/4790/7132/3383/6401/7412/1385/6868/207/208/10000/843/5599/5601/4323/4314/3553/331",20
"Organismal Systems","Endocrine system","hsa04614","Renin-angiotensin system","9/346","23/9522",0.391304347826087,10.7687861271676,9.10789898377258,5.18615707892226e-08,8.49953521267814e-07,4.00334932408034e-07,"1636/59272/290/4012/4311/5972/1359/2028/3816",9
"Organismal Systems","Nervous system","hsa04724","Glutamatergic synapse","18/346","116/9522",0.155172413793103,4.27038070560096,6.88141023137649,1.7114268416405e-07,2.6572153593892e-06,1.2515697678479e-06,"2782/54331/111/5582/2890/2891/2892/2893/2897/2898/2899/2901/2914/2916/2918/6505/6506/6507",18
"Human Diseases","Neurodegenerative disease","hsa05022","Pathways of neurodegeneration - multiple diseases","41/346","483/9522",0.0848861283643892,2.33608587943848,5.85194688808389,2.90655968097025e-07,4.14840215910308e-06,1.95393072257487e-06,"351/4137/4790/7132/2932/120892/801/2081/50507/10280/81027/817/823/824/842/5599/5601/5582/5693/6622/2890/2891/2892/2893/3553/4842/4843/5682/5683/5684/5685/5686/5687/5688/143471/5689/5690/5691/5692/5694/5695",41
"Human Diseases","Neurodegenerative disease","hsa05016","Huntington disease","31/346","311/9522",0.0996784565916399,2.74317417244392,6.06904301341612,2.95309984207338e-07,4.14840215910308e-06,1.95393072257487e-06,"2033/3065/3066/1385/2081/81027/842/5599/5601/5468/5693/2890/2891/2892/2893/5682/5683/5684/5685/5686/5687/5688/143471/5689/5690/5691/5692/5694/5695/6506/6507",31
"Human Diseases","Endocrine and metabolic disease","hsa04931","Insulin resistance","17/346","109/9522",0.155963302752294,4.29214615262237,6.71244834014943,3.5110550732148e-07,4.55443017286328e-06,2.14517317687049e-06,"4790/5781/7132/2932/1385/207/208/10000/5599/5601/5465/5562/5565/5770/6197/2673/4846",17
"Organismal Systems","Environmental adaptation","hsa04713","Circadian entrainment","16/346","97/9522",0.164948453608247,4.53941958166975,6.80346048153866,3.55091166019849e-07,4.55443017286328e-06,2.14517317687049e-06,"2353/2782/54331/801/1385/111/817/4543/4544/5582/5593/2890/2891/2892/2893/4842",16
"Metabolism","Metabolism of cofactors and vitamins","hsa00790","Folate biosynthesis","9/346","28/9522",0.321428571428571,8.84578860445913,8.07316137856886,3.73020922261126e-07,4.58504883612634e-06,2.15959481309073e-06,"231/57016/8644/873/5860/6697/7054/7166/121278",9
"Human Diseases","Substance dependence","hsa05034","Alcoholism","23/346","191/9522",0.120418848167539,3.31395454407893,6.27277979186127,4.01019353495959e-07,4.73202837125232e-06,2.22882335416701e-06,"2782/54331/3065/83933/79885/3066/9759/10014/51564/55869/9734/4128/4129/135/801/1385/111/10645/1813/8841/10013/6571/7054",23
"Cellular Processes","Cell growth and death","hsa04210","Apoptosis","19/346","137/9522",0.138686131386861,3.81667440192397,6.448109761427,4.74926217412577e-07,5.38858592833501e-06,2.53806723475547e-06,"2353/3725/4790/7132/4914/2081/207/208/10000/823/824/843/842/1508/1514/5599/5601/1512/331",19
"Organismal Systems","Immune system","hsa04613","Neutrophil extracellular trap formation","23/346","196/9522",0.11734693877551,3.22941488734222,6.12384030095412,6.38204379603614e-07,6.72393899939522e-06,3.16702925216831e-06,"3065/83933/79885/3066/9759/10014/51564/55869/9734/4790/6850/207/208/10000/728/837/2357/2358/8841/10013/4353/5582/834",23
"Human Diseases","Infectious disease: viral","hsa05167","Kaposi sarcoma-associated herpesvirus infection","23/346","196/9522",0.11734693877551,3.22941488734222,6.12384030095412,6.38204379603614e-07,6.72393899939522e-06,3.16702925216831e-06,"2033/2353/2782/54331/3725/4790/6772/7132/1019/2932/3383/6850/801/1385/7422/207/208/10000/842/3105/5599/5601/3576",23
"Organismal Systems","Endocrine system","hsa04924","Renin secretion","13/346","69/9522",0.188405797101449,5.1849710982659,6.77461795819164,9.421778959407e-07,9.58422342422436e-06,4.51424618018775e-06,"5732/5734/134/801/1385/1636/111/155/1508/1909/5593/5972/4878",13
"Human Diseases","Cancer: overview","hsa05203","Viral carcinogenesis","23/346","205/9522",0.11219512195122,3.08763569716622,5.8674071629711,1.41247705601444e-06,1.38893577174753e-05,6.54199899627741e-06,"2033/3065/83933/79885/3066/9759/10014/51564/55869/9734/3725/4790/387/1017/1019/6850/1111/3718/1385/8841/10013/3105/3249",23
"Organismal Systems","Endocrine system","hsa04935","Growth hormone synthesis, secretion and action","17/346","122/9522",0.139344262295082,3.8347863166872,6.11911965858645,1.79505474492169e-06,1.70819725726418e-05,8.04574622511587e-06,"2033/2353/6772/2932/1385/111/207/208/10000/2693/5599/5601/5582/6751/6752/6753/6755",17
"Human Diseases","Infectious disease: viral","hsa05162","Measles","18/346","136/9522",0.132352941176471,3.64238354301258,6.02667351110515,1.9122824935081e-06,1.76288542370278e-05,8.30333187970623e-06,"2353/3303/3725/4790/6772/54106/1017/1019/2932/3718/3558/207/208/10000/842/5599/5601/3553",18
"Human Diseases","Infectious disease: viral","hsa05163","Human cytomegalovirus infection","24/346","227/9522",0.105726872246696,2.90962796974867,5.65444036485256,2.41771624446267e-06,2.12380058277815e-05,1.00032712551906e-05,"6387/2782/54331/4790/5732/5733/5734/387/7132/1019/2932/1956/801/1385/7422/111/207/208/10000/842/3105/5582/3576/3553",24
"Human Diseases","Drug resistance: antineoplastic","hsa01522","Endocrine resistance","15/346","99/9522",0.151515151515152,4.16973200210194,6.15599382951206,2.51976340329611e-06,2.12380058277815e-05,1.00032712551906e-05,"2099/2100/2353/3725/4313/4318/1019/1956/111/207/208/10000/5599/5601/9611",15
"Organismal Systems","Sensory system","hsa04750","Inflammatory mediator regulation of TRP channels","15/346","99/9522",0.151515151515152,4.16973200210194,6.15599382951206,2.51976340329611e-06,2.12380058277815e-05,1.00032712551906e-05,"5732/5734/4914/239/801/111/817/3356/3357/3358/5599/5601/5582/3553/5583",15
"Human Diseases","Infectious disease: parasitic","hsa05142","Chagas disease","15/346","103/9522",0.145631067961165,4.00780066221449,5.95961073873539,4.18645300739319e-06,3.43056565883609e-05,1.61582396776579e-05,"2353/3725/4790/54106/7132/3558/1636/207/208/10000/5599/5601/3576/3553/4843",15
"Human Diseases","Endocrine and metabolic disease","hsa04936","Alcoholic liver disease","18/346","144/9522",0.125,3.4400289017341,5.72893285085242,4.39316037078152e-06,3.5026548902177e-05,1.64977857451824e-05,"4790/7132/2932/50507/207/208/10000/719/728/10645/5599/5601/5465/5562/5565/3576/3553/23643",18
"Organismal Systems","Immune system","hsa04625","C-type lectin receptor signaling pathway","15/346","105/9522",0.142857142857143,3.93146160198183,5.86509706304452,5.34278526531425e-06,4.11457222796636e-05,1.93799655340431e-05,"3725/4790/5781/387/6772/6850/801/3558/207/208/10000/5599/5601/834/3553",15
"Environmental Information Processing","Signal transduction","hsa04020","Calcium signaling pathway","25/346","254/9522",0.0984251968503937,2.70868417459378,5.35967273740764,5.4396039623962e-06,4.11457222796636e-05,1.93799655340431e-05,"5733/5159/1956/4914/135/801/7422/155/817/886/887/1909/1910/2925/3356/3357/3358/3360/4923/5582/6869/6865/4842/4843/4846",25
"Human Diseases","Cancer: specific types","hsa05215","Prostate cancer","15/346","106/9522",0.141509433962264,3.89437234158578,5.81871031967133,6.02143348040682e-06,4.44080719180003e-05,2.09165584056237e-05,"2033/4318/4790/1017/2932/5159/1956/367/1385/207/208/10000/842/2346/4314",15
"Human Diseases","Infectious disease: viral","hsa05166","Human T-cell leukemia virus 1 infection","23/346","224/9522",0.102678571428571,2.82573802642444,5.36933287198228,6.45246830133627e-06,4.64262963144927e-05,2.18671582997789e-05,"2033/2353/3725/4790/7132/1017/1019/3383/1111/3718/1385/3558/7015/111/207/208/10000/3105/5599/5601/4316/3932/331",23
"Human Diseases","Infectious disease: viral","hsa05161","Hepatitis B","19/346","163/9522",0.116564417177914,3.20787971204653,5.52086486403201,6.75958001226346e-06,4.74780024670886e-05,2.23625203413227e-05,"2033/2353/3725/4318/4790/6772/1017/3718/1385/207/208/10000/843/842/5599/5601/5582/3576/5111",19
"Organismal Systems","Endocrine system","hsa04920","Adipocytokine signaling pathway","12/346","70/9522",0.171428571428571,4.7177539223782,6.06206283374215,6.96721495390272e-06,4.77983351488675e-05,2.25133996062462e-05,"4790/5781/7132/207/208/10000/10645/5599/5601/5465/5562/5565",12
"Human Diseases","Cancer: overview","hsa05208","Chemical carcinogenesis - reactive oxygen species","23/346","227/9522",0.101321585903084,2.78839347100914,5.29546298593635,8.05784886536709e-06,5.24367407023519e-05,2.46981258615895e-05,"8644/1109/1545/2353/3725/4780/4790/5781/1956/873/1543/50507/1728/7422/196/207/208/10000/5599/5601/25865/5770/2944",23
"Organismal Systems","Endocrine system","hsa04917","Prolactin signaling pathway","12/346","71/9522",0.169014084507042,4.65130668403484,5.99640882244656,8.11452533974632e-06,5.24367407023519e-05,2.46981258615895e-05,"2099/2100/2353/4790/6772/2932/207/208/10000/5599/5601/7054",12
"Human Diseases","Substance dependence","hsa05030","Cocaine addiction","10/346","49/9522",0.204081632653061,5.6163737171169,6.29082871710199,8.17657651629894e-06,5.24367407023519e-05,2.46981258615895e-05,"3725/4128/4129/4790/1385/111/1813/6571/2891/7054",10
"Human Diseases","Infectious disease: bacterial","hsa05152","Tuberculosis","20/346","182/9522",0.10989010989011,3.02420123229372,5.35387922930483,9.51752226384228e-06,5.97376397411377e-05,2.81369079244609e-05,"2033/3329/4790/387/6772/54106/7132/6850/801/1385/207/208/10000/817/843/842/5599/5601/3553/4843",20
"Human Diseases","Cancer: overview","hsa05207","Chemical carcinogenesis - receptor activation","22/346","217/9522",0.101382488479263,2.79006952398711,5.17957595946695,1.25913468248456e-05,7.73843190276967e-05,3.64486355456056e-05,"1545/2099/2100/2353/3725/4790/1956/367/1385/1543/7422/111/155/196/207/208/10000/5465/5582/6197/2944/331",22
