"ENTREZID"
"2782"
"54331"
"9170"
"4790"
"1017"
"1019"
"2932"
"5159"
"6850"
"1956"
"3718"
"4914"
"1385"
"3558"
"3815"
"5228"
"7422"
"207"
"208"
"10000"
"842"
"5562"
"10110"
"4846"
